year,num_countries,num_trade_flows,density,reciprocity,avg_clustering,avg_degree,total_trade_volume,top_importer,top_exporter
1962,146,1526,0.07208313651393482,0.38794233289646135,0.6915310928619761,20.904109589041095,762360234,DEU,USA
1963,144,1719,0.08347902097902098,0.39092495636998253,0.6980543753652362,23.875,658121946,DEU,USA
1964,150,1860,0.08322147651006712,0.4161290322580645,0.7094199301263292,24.8,1307820059,USA,CHL
1965,152,1954,0.08513419309864065,0.4022517911975435,0.7294386215723778,25.710526315789473,1331451777,USA,USA
1966,153,2030,0.08728930168558652,0.40295566502463054,0.7156163475048075,26.535947712418302,1178154663,NLD,USA
1967,153,2086,0.08969728242174063,0.3796740172579099,0.6863346554205201,27.26797385620915,1408023183,FRA,USA
1968,154,2192,0.09303115185468126,0.40145985401459855,0.7068777390184096,28.467532467532468,1436734976,USA,GBR
1969,156,2217,0.09168734491315136,0.4158773116824538,0.7167118283589142,28.423076923076923,1703213380,USA,USA
1970,174,1323,0.04395056806856687,0.2705971277399849,0.5317788082440814,15.206896551724139,574127025,HUN,CSK
1971,178,1331,0.042245921411794576,0.2599549211119459,0.5153384397024545,14.955056179775282,584788147,DEU,GBR
1972,180,1429,0.044351334574798264,0.2575227431770469,0.5323612954145377,15.877777777777778,949066309,GBR,USA
1973,181,1513,0.04643953345610804,0.2775941837409121,0.5483127382562415,16.718232044198896,1290009656,GBR,USA
1974,190,1559,0.043414090782511836,0.2604233483001924,0.5255360650263389,16.410526315789475,1825172634,CHE,GBR
1975,186,1613,0.046875908166230745,0.29882207067575944,0.5374084213356108,17.344086021505376,1739361342,GBR,DEU
1976,173,1173,0.03942062105121656,0.39215686274509803,0.5376187426484509,13.560693641618498,1851738347,USA,JPN
1977,179,1502,0.04714079467704475,0.38615179760319573,0.5760139869551381,16.782122905027933,2714209669,JPN,JPN
1978,186,2506,0.07282766637605348,0.4565043894652833,0.7452315388164159,26.946236559139784,7464293407,USA,USA
1979,191,2808,0.07737668779278038,0.4700854700854701,0.7383079004741017,29.403141361256544,9634249511,FRA,USA
1980,188,1920,0.054613721697576514,0.328125,0.6555731063038065,20.425531914893618,4581965750,USA,MYS
1981,182,1841,0.055886102847428815,0.33351439435089625,0.6591925520660428,20.23076923076923,3457641037,USA,USA
1982,186,1897,0.05512932287125836,0.32999472851871375,0.6754045683387359,20.397849462365592,3536667547,DEU,FRA
1983,187,1934,0.05560347306077856,0.35263702171664946,0.6620038156023333,20.684491978609625,2801672888,GBR,USA
1984,184,1857,0.05514967925873129,0.345718901453958,0.671650301966498,20.184782608695652,4522655158,ITA,IRQ
1985,183,1933,0.05803759082447607,0.31764097258147955,0.666857861721433,21.12568306010929,4006836290,USA,DEU
1986,186,2165,0.06291775646614356,0.3565819861431871,0.6397862261702042,23.27956989247312,4786822948,USA,DEU
1987,186,2195,0.06378959604766056,0.3817767653758542,0.68555709678507,23.602150537634408,7458027984,USA,GBR
1988,189,2224,0.062591466846786,0.3830935251798561,0.6483276140251001,23.534391534391535,8724845327,TUR,IRQ
1989,191,2385,0.06572058418297051,0.35555555555555557,0.6576532291689081,24.973821989528794,7943072395,USA,FRA
1990,187,1596,0.045885803001552525,0.2531328320802005,0.513648289608997,17.06951871657754,3999475497,HKG,CHN
1991,184,1567,0.04653718222855785,0.2807913209955329,0.5345746148090079,17.032608695652176,4946649384,JPN,USA
1992,206,1796,0.04252900781434999,0.2962138084632517,0.5275894113587853,17.436893203883496,4862866378,DEU,USA
1993,208,1879,0.04364083983649201,0.2586482171367749,0.49167254365791396,18.067307692307693,6135257147,NLD,IRN
1994,210,2025,0.04613807245386193,0.2874074074074074,0.522948856574315,19.285714285714285,5565744319,CHE,FRA
1995,217,2953,0.06300136542072025,0.2959701997968168,0.5760819686667011,27.216589861751153,5156647076,CHN,JPN
1996,211,3110,0.07018731663281426,0.3054662379421222,0.5807426600035106,29.47867298578199,6254962135,DEU,DEU
1997,212,3350,0.07489045873200394,0.3188059701492537,0.5801722395629788,31.60377358490566,6517299178,USA,USA
1998,213,3400,0.07529453450261317,0.31,0.5439671343131989,31.92488262910798,11248683996,USA,MEX
1999,213,3542,0.07843918859066348,0.3020892151326934,0.5621269199566461,33.25821596244131,7009905761,MEX,USA
2000,227,2536,0.04943277065221629,0.22555205047318613,0.4146968605052643,22.34361233480176,5179193347,USA,KOR
2001,225,2587,0.05132936507936508,0.2350212601468883,0.42579481626928456,22.995555555555555,3971238384,CHN,KOR
2002,225,2697,0.05351190476190476,0.21876158694846126,0.4345936017403266,23.973333333333333,9552406284,USA,JPN
2003,224,2748,0.05501281229980782,0.22416302765647744,0.4021252565566592,24.535714285714285,5758002805,HKG,TWN
2004,226,2802,0.055103244837758115,0.20770877944325483,0.4091084320470198,24.79646017699115,12827887816,CAN,USA
2005,225,2956,0.05865079365079365,0.2158322056833559,0.41851514419570784,26.275555555555556,9138686509,NLD,CHN
2006,229,3031,0.05805178886079829,0.21313097987462884,0.4157792012407053,26.471615720524017,10625900348,USA,CAN
2007,226,3116,0.06127826941986234,0.22657252888318358,0.41902001994650107,27.575221238938052,20349788361,ITA,DEU
2008,227,3155,0.061498577053526175,0.21553090332805072,0.4294776548105106,27.797356828193834,11878422355,GBR,JPN
2009,228,3058,0.05908493701213386,0.23217789404839764,0.3952358451057105,26.82456140350877,12281349861,HKG,CHN
2010,227,2983,0.058145881252192895,0.2078444518940664,0.3992814023977454,26.281938325991188,10763524505,CAN,USA
2011,230,3063,0.058154547180558194,0.1958863858961802,0.3858394705962063,26.63478260869565,11498071222,CHN,CHN
2012,229,3059,0.05858806404657933,0.2137953579601177,0.4034753631373895,26.716157205240176,12691410526,IND,CHN
2013,229,3127,0.059890446640619016,0.19955228653661655,0.406026784095397,27.310043668122272,11588787799,ARE,CHN
